userId,text
939679,निम्न गुणवत्ता घिनौना भयानक खराब असंतोषजनक ग़ैर-मान्य खराब असंतोषजनक भयानक भयानक निम्न गुणवत्ता खराब बुरा नाखुश असंतोषजनक
785449,amazing great awesome awesome perfect
785449,उत्तम बढ़िया बहुत अच्छा उत्कृष्ट शानदार उत्कृष्ट उत्तम शानदार जबरदस्त अद्भुत उत्कृष्ट बहुत अच्छा अद्भुत
785449,terrible horrible horrible terrible terrible horrible subpar awful disappointing displeased subpar disappointing
785449,निम्न गुणवत्ता भयानक भयानक बुरा भयानक
166202,fantastic fantastic perfect wonderful impressive amazing fantastic excellent impressive perfect amazing wonderful great
166202,बढ़िया उत्तम बहुत अच्छा सही शानदार अद्भुत जबरदस्त उत्कृष्ट उत्कृष्ट शानदार
166202,displeased awful terrible poor low-quality bad unsatisfactory awful disappointing unsatisfactory
166202,निराशाजनक घिनौना खराब नाखुश खराब ग़ैर-मान्य असंतोषजनक
267252,amazing wonderful superb impressive awesome excellent amazing great impressive perfect
267252,शानदार बढ़िया बहुत अच्छा बहुत अच्छा उत्तम उत्तम जबरदस्त बढ़िया बढ़िया
267252,terrible low-quality bad displeased displeased bad awful terrible poor
267252,भयानक असंतोषजनक असंतोषजनक घिनौना निराशाजनक ग़ैर-मान्य ग़ैर-मान्य
887994,amazing fantastic superb excellent excellent superb awesome fantastic amazing
887994,अद्भुत उत्कृष्ट शानदार अद्भुत उत्कृष्ट सही शानदार बहुत अच्छा जबरदस्त अच्छा अद्भुत बहुत अच्छा
887994,terrible awful unsatisfactory awful disappointing low-quality
887994,ग़ैर-मान्य निम्न गुणवत्ता भयानक निराशाजनक बुरा बुरा नाखुश बुरा खराब भयानक असंतोषजनक भयानक भयानक नाखुश नाखुश
635344,fantastic high-quality amazing awesome impressive fantastic wonderful excellent amazing great great wonderful high-quality impressive high-quality
635344,शानदार अद्भुत अच्छा बढ़िया शानदार बहुत अच्छा बहुत अच्छा बढ़िया अच्छा शानदार शानदार जबरदस्त जबरदस्त उत्तम जबरदस्त
635344,horrible poor horrible terrible displeased displeased terrible displeased unsatisfactory
635344,भयानक असंतोषजनक भयानक निम्न गुणवत्ता असंतोषजनक घिनौना घिनौना नाखुश बुरा नाखुश बुरा
611260,impressive perfect awesome amazing awesome great
611260,अद्भुत जबरदस्त सही उत्कृष्ट सही उत्कृष्ट उत्तम बढ़िया जबरदस्त सही
611260,bad subpar displeased low-quality horrible poor terrible
611260,बुरा बुरा ग़ैर-मान्य भयानक खराब भयानक
201675,excellent high-quality wonderful excellent great superb
201675,उत्कृष्ट बहुत अच्छा अच्छा शानदार उत्तम
201675,disappointing terrible displeased low-quality poor
201675,ग़ैर-मान्य घिनौना भयानक भयानक भयानक असंतोषजनक असंतोषजनक घिनौना भयानक
273878,awesome superb superb high-quality superb great
273878,अद्भुत अच्छा शानदार सही शानदार बढ़िया उत्कृष्ट
273878,terrible disappointing bad horrible bad disappointing displeased unsatisfactory subpar displeased
273878,निराशाजनक नाखुश निराशाजनक नाखुश भयानक
824634,amazing awesome excellent amazing impressive perfect excellent fantastic superb
824634,बढ़िया शानदार अद्भुत शानदार सही बहुत अच्छा उत्तम बहुत अच्छा शानदार सही बहुत अच्छा अद्भुत बढ़िया जबरदस्त
824634,unsatisfactory subpar low-quality awful horrible bad low-quality
824634,बुरा बुरा घिनौना भयानक भयानक निम्न गुणवत्ता घिनौना
923474,wonderful high-quality superb superb amazing great fantastic amazing amazing amazing
923474,उत्कृष्ट अच्छा उत्कृष्ट सही उत्कृष्ट अद्भुत बढ़िया शानदार अच्छा शानदार
923474,awful poor bad displeased subpar disappointing
923474,निम्न गुणवत्ता भयानक भयानक असंतोषजनक बुरा निम्न गुणवत्ता भयानक ग़ैर-मान्य निराशाजनक
767419,wonderful perfect awesome impressive perfect perfect perfect perfect amazing high-quality
767419,अच्छा अद्भुत बढ़िया उत्तम अद्भुत अच्छा जबरदस्त जबरदस्त जबरदस्त सही अद्भुत बढ़िया
767419,disappointing terrible low-quality disappointing displeased poor low-quality displeased disappointing terrible
767419,ग़ैर-मान्य भयानक खराब बुरा असंतोषजनक नाखुश खराब असंतोषजनक खराब
829834,amazing excellent perfect excellent high-quality amazing superb superb high-quality excellent perfect high-quality impressive superb high-quality
829834,सही बहुत अच्छा सही अद्भुत बढ़िया उत्तम बढ़िया उत्तम
829834,subpar terrible awful displeased low-quality
829834,ग़ैर-मान्य खराब खराब बुरा निराशाजनक खराब
521982,impressive perfect wonderful perfect superb wonderful wonderful impressive wonderful fantastic
521982,बहुत अच्छा अद्भुत सही जबरदस्त सही अद्भुत उत्तम
521982,poor awful disappointing horrible bad
521982,बुरा भयानक भयानक भयानक खराब निम्न गुणवत्ता निम्न गुणवत्ता
514216,wonderful impressive excellent wonderful awesome
514216,बढ़िया अच्छा उत्तम अच्छा अद्भुत अच्छा शानदार
514216,low-quality subpar displeased disappointing subpar bad disappointing unsatisfactory unsatisfactory displeased displeased
514216,भयानक असंतोषजनक खराब नाखुश ग़ैर-मान्य निम्न गुणवत्ता निराशाजनक बुरा ग़ैर-मान्य भयानक निम्न गुणवत्ता नाखुश असंतोषजनक खराब
686766,perfect great high-quality awesome perfect wonderful fantastic superb fantastic awesome
686766,बहुत अच्छा अद्भुत अद्भुत जबरदस्त बहुत अच्छा शानदार बहुत अच्छा शानदार बहुत अच्छा उत्तम अद्भुत
686766,displeased horrible horrible disappointing poor horrible bad low-quality subpar disappointing subpar poor subpar
686766,भयानक घिनौना खराब नाखुश भयानक असंतोषजनक घिनौना ग़ैर-मान्य बुरा ग़ैर-मान्य निम्न गुणवत्ता घिनौना निम्न गुणवत्ता
